出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"1140917","11408","6990","華鉬","綠能環保","100291","76169","121328","31.66905171395187","-17.33894896478966","748328","873986","-14.377575842175961","-"
"1140917","11408","6995","野獸國","其他","151147","120635","157980","25.292825465246406","-4.325231041904038","895774","898400","-0.2922974176313446","-"
"1140917","11408","6999","瀚醫生技","生技醫療業","11311","11952","12345","-5.363119143239625","-8.375860672336978","84079","72961","15.238277984128507","-"
"1140917","11408","7419","達勝","電子零組件業","3554","4988","8624","-28.748997594226143","-58.78942486085343","51510","40530","27.09104367135455","本期客戶需求減少。"
"1140917","11408","7427","華上生醫","生技醫療業","181","0","333","","-45.645645645645644","804","1002","-19.760479041916167","-"
"1140917","11408","7443","凡事康","其他","47419","54785","50485","-13.445286118463082","-6.073091017133802","381838","382748","-0.23775434489533584","-"
"1140917","11408","7455","樺緯物聯","電腦及週邊設備業","60840","71344","44881","-14.723032069970845","35.55847686103251","575883","557190","3.354869972540785","-"
"1140917","11408","7507","環拓科技","綠能環保","31627","36352","19776","-12.997909330985916","59.92617313915858","249288","227980","9.346433897710325","主係設備銷售工程收入增加所致"
"1140917","11408","7516","清淨海","其他","20848","21845","36893","-4.5639734493018995","-43.49063507982544","207901","195521","6.331800676142205","-"
"1140917","11408","7530","鋒魁科技","半導體業","11515","10026","19354","14.851386395372034","-40.503255141056115","114120","151481","-24.66381922485328","-"
"1140917","11408","7551","知識科技","數位雲端","14830","15375","16151","-3.5447154471544717","-8.179060120116402","116390","152247","-23.55185980676138","-"
"1140917","11408","7558","群利科技","其他","32098","39131","22417","-17.97296261276226","43.18597492974082","235307","176942","32.98538504142601","-"
"1140917","11408","7561","光晟生技","生技醫療業","21553","21483","21541","0.3258390355164549","0.05570772016155239","157174","129774","21.11362830767334","-"
"1140917","11408","7562","博來科技","電腦及週邊設備業","62481","64640","48982","-3.340037128712871","27.55910334408558","519956","416661","24.791137159465368","-"
"1140917","11408","7566","亞果遊艇","觀光餐旅","26016","16871","29096","54.20544128978721","-10.585647511685455","298047","247715","20.3185111922976","-"
"1140917","11408","7575","安美得","生技醫療業","69567","72114","67765","-3.5319078126300023","2.659189847266288","543191","526805","3.11044883780526","-"
"1140917","11408","7578","利百景","其他","34923","30273","39108","15.360221979982162","-10.70113531758208","289268","292688","-1.1684797463510632","-"
"1140917","11408","7583","國際海洋","綠能環保","164233","155941","92615","5.31739568170013","77.32872644819953","761549","829138","-8.151719014205113","本月較去年同期增加，主係今年新承接離岸風場維運專案所致。"
"1140917","11408","7590","怡和國際","其他","286871","228576","111694","25.50355242895142","156.83653553458555","1494360","542207","175.606917653221","工程案陸續完成階段進度及訂單增加所致。"
"1140917","11408","7595","世基生醫","生技醫療業","28096","9183","11323","205.95665904388545","148.13212046277488","117955","69438","69.87096402546156","本年度市場需求增加"
"1140917","11408","7607","通用幹細胞*","生技醫療業","1862","1395","1570","33.47670250896057","18.598726114649683","13661","7680","77.87760416666667","本期累計營業收入較去年增加，主係產品技術授權收入增加所致"
"1140917","11408","7702","前端風電","綠能環保","11130","23337","9380","-52.307494536572825","18.65671641791045","1007031","150310","569.9693965804005","本年增加百分比達50%以上，主係因今年銷售方面較去年多元，因此營業收入增加。"
"1140917","11408","7706","宏碁創達","其他","45986","47958","41068","-4.111931273197381","11.975260543488847","342122","316150","8.215087774790447","-"
"1140917","11408","7707","益芯科","半導體業","33428","36219","79341","-7.705900218117563","-57.86793713212589","307509","527347","-41.687541599743625","本月營收較去年同期減少，主要為本月份設計服務收入較去年同期減少。"
"1140917","11408","7711","永擎","電腦及週邊設備業","2119208","1332030","895166","59.09611645383362","136.7391076068573","14326734","4154048","244.88609664597038","顧客需求強勁"
